CustomerID,Date,PurchaseAmount,TotalQuantity,OrderCount
12346.0,2011-01-18,77183.6,74215,1
12347.0,2010-12-07,711.79,319,1
12347.0,2011-01-26,475.39,315,1
12347.0,2011-04-07,636.25,483,1
12347.0,2011-06-09,382.52,196,1
12347.0,2011-08-02,584.9100000000001,277,1
12347.0,2011-10-31,1294.32,676,1
12347.0,2011-12-07,224.82,192,1
12348.0,2010-12-16,892.8,1254,1
12348.0,2011-01-25,227.44,601,1
12348.0,2011-04-05,367.0,269,1
12348.0,2011-09-25,310.0,217,1
12349.0,2011-11-21,1757.55,631,1
12350.0,2011-02-02,334.4,197,1
12352.0,2011-02-16,296.5,98,1
12352.0,2011-03-01,984.6500000000001,29,2
12352.0,2011-03-17,120.33,63,1
12352.0,2011-03-22,160.33,64,1
12352.0,2011-09-20,366.25,103,1
12352.0,2011-09-28,266.25,52,1
12352.0,2011-11-03,311.73,127,1
12353.0,2011-05-19,89.0,20,1
12354.0,2011-04-21,1079.4,530,1
12355.0,2011-05-09,459.4,240,1
12356.0,2011-01-18,2271.62,1216,1
12356.0,2011-04-08,481.46000000000004,370,1
12356.0,2011-11-17,58.349999999999994,5,1
12357.0,2011-11-06,6207.67,2708,1
12358.0,2011-07-12,484.86,100,1
12358.0,2011-12-08,683.2,148,1
12359.0,2011-01-12,547.5,144,1
12359.0,2011-02-07,1838.9099999999999,465,1
12359.0,2011-06-03,1109.32,356,1
12359.0,2011-10-13,2876.85,657,1
12360.0,2011-05-23,1083.58,434,1
12360.0,2011-08-19,534.7,240,1
12360.0,2011-10-18,1043.78,491,1
12361.0,2011-02-25,189.9,91,1
12362.0,2011-02-17,479.1,229,1
12362.0,2011-04-28,495.24,275,1
12362.0,2011-07-07,303.76,144,1
12362.0,2011-08-11,469.25,340,1
12362.0,2011-09-28,829.99,267,1
12362.0,2011-10-11,355.8,162,1
12362.0,2011-10-26,786.95,213,1
12362.0,2011-10-28,499.15999999999997,168,1
12362.0,2011-11-04,477.94,210,1
12362.0,2011-12-06,529.04,221,1
12363.0,2011-04-11,299.1,282,1
12363.0,2011-08-22,252.9,126,1
12364.0,2011-08-19,623.92,555,1
12364.0,2011-09-22,79.8,181,1
12364.0,2011-10-30,299.06,268,1
12364.0,2011-12-02,310.32,502,1
12365.0,2011-02-21,641.38,174,2
12367.0,2011-12-05,168.9,173,1
12370.0,2010-12-14,1590.82,917,1
12370.0,2010-12-17,277.2,51,1
12370.0,2011-03-10,938.39,1005,1
12370.0,2011-10-19,739.28,380,1
12371.0,2011-10-11,1527.96,582,1
12371.0,2011-10-26,360.0,9,1
12372.0,2011-02-16,399.22,224,1
12372.0,2011-05-11,515.7,368,1
12372.0,2011-09-29,383.12,202,1
12373.0,2011-02-01,364.6,197,1
12374.0,2011-11-14,742.9300000000001,342,1
12375.0,2011-09-02,230.3,87,1
12375.0,2011-11-29,227.20000000000002,91,1
12377.0,2010-12-20,1001.52,604,1
12377.0,2011-01-28,626.6,340,1
12378.0,2011-08-02,4008.62,2529,1
12379.0,2011-06-22,459.84,211,1
12379.0,2011-09-19,392.40000000000003,196,1
12380.0,2011-06-07,607.5500000000001,293,1
12380.0,2011-09-22,626.01,290,1
12380.0,2011-10-14,450.86,229,1
12380.0,2011-11-18,1040.39,315,1
12381.0,2011-08-12,1268.74,568,1
12381.0,2011-10-11,6.0,1,1
12381.0,2011-10-12,4.5,1,1
12381.0,2011-11-06,419.06,146,1
12381.0,2011-12-05,147.01,92,1
12383.0,2010-12-22,600.72,754,1
12383.0,2011-01-12,651.16,590,1
12383.0,2011-03-14,357.07,91,1
12383.0,2011-04-15,142.16,77,1
12383.0,2011-06-08,99.45,20,1
12384.0,2011-08-10,292.69,62,1
12384.0,2011-11-11,292.58,64,1
12386.0,2010-12-08,258.9,214,1
12386.0,2011-01-06,143.0,140,1
12388.0,2011-01-17,431.3,204,1
12388.0,2011-02-07,124.05000000000001,37,1
12388.0,2011-03-09,210.9,90,1
12388.0,2011-07-14,902.09,429,1
12388.0,2011-09-25,825.9200000000001,478,1
12388.0,2011-11-24,286.4,224,1
12390.0,2011-09-21,549.84,353,1
12391.0,2011-11-18,460.89,300,1
12393.0,2011-01-11,462.5,238,1
12393.0,2011-01-14,177.00000000000003,60,1
12393.0,2011-04-08,421.6,224,1
12393.0,2011-09-28,521.5,294,1
12394.0,2011-05-06,381.08,182,1
12394.0,2011-10-07,891.4,637,1
12395.0,2010-12-03,346.1,528,1
12395.0,2010-12-17,333.82,225,1
12395.0,2011-02-11,231.51,262,1
12395.0,2011-03-23,326.5,321,1
12395.0,2011-05-05,149.97,72,1
12395.0,2011-05-12,181.82,83,1
12395.0,2011-06-30,163.9,103,1
12395.0,2011-08-19,165.95,35,1
12395.0,2011-10-04,346.68,118,1
12395.0,2011-11-08,506.55,246,2
12395.0,2011-11-20,265.83,125,1
12397.0,2011-07-27,1214.81,704,1
12397.0,2011-11-04,1195.09,559,1
12398.0,2011-10-25,1635.6599999999999,1394,1
12399.0,2011-03-23,288.05,364,1
12399.0,2011-05-10,480.90000000000003,494,1
12399.0,2011-06-09,130.08,145,1
12399.0,2011-08-12,209.62,175,1
12401.0,2011-02-09,84.3,11,1
12402.0,2011-01-20,225.6,94,1
12403.0,2011-10-21,427.7,96,1
12405.0,2011-07-14,1710.39,857,1
12406.0,2011-06-09,1621.25,793,1
12406.0,2011-11-17,1794.05,1025,1
12407.0,2011-03-20,226.3,215,1
12407.0,2011-04-18,269.66,204,1
12407.0,2011-07-06,719.06,522,1
12407.0,2011-07-28,192.34,296,1
12407.0,2011-10-21,300.76,179,1
12408.0,2011-03-24,837.59,356,2
12408.0,2011-06-17,654.18,378,1
12408.0,2011-09-02,642.28,310,1
12408.0,2011-11-07,754.5,365,1
12409.0,2011-06-10,6207.08,3142,1
12409.0,2011-09-21,4.95,1,1
12409.0,2011-09-22,4860.64,2408,1
12410.0,2011-02-04,693.3299999999999,211,2
12412.0,2011-06-23,514.5,358,1
12412.0,2011-07-25,376.24,241,1
12412.0,2011-09-26,336.14,230,1
12413.0,2011-01-06,479.25,180,1
12413.0,2011-04-17,84.65,25,1
12413.0,2011-10-04,194.20000000000002,81,1
12414.0,2011-02-02,153.76,145,1
12414.0,2011-04-26,242.8,113,1
12414.0,2011-05-06,165.85,42,1
12415.0,2011-01-06,7011.38,4662,1
12415.0,2011-01-10,81.6,96,1
12415.0,2011-02-15,14022.92,8384,1
12415.0,2011-03-03,16726.84,10272,1
12415.0,2011-04-01,350.0,1,1
